Wings: 107     Order: 4, 25, 25, 25, 28              Total Price: $119.15    
Wings: 108     Order: 4, 25, 25, 25, 29              Total Price: $120.30    
Wings: 109     Order: 6, 25, 25, 25, 28              Total Price: $121.40    
Wings: 110     Order: 25, 25, 25, 35                 Total Price: $122.55    
Wings: 111     Order: 6, 25, 80                      Total Price: $123.70    
Wings: 112     Order: 6, 6, 25, 25, 25, 25           Total Price: $124.80    
Wings: 113     Order: 4, 6, 25, 25, 25, 28           Total Price: $125.95    
Wings: 114     Order: 9, 25, 80                      Total Price: $127.10    
Wings: 115     Order: 25, 25, 25, 40                 Total Price: $128.20    
Wings: 116     Order: 6, 25, 25, 25, 35              Total Price: $129.35    
Wings: 117     Order: 6, 6, 25, 80                   Total Price: $130.50    
Wings: 118     Order: 6, 6, 6, 25, 25, 25, 25        Total Price: $131.60    
Wings: 119     Order: 4, 25, 25, 25, 40              Total Price: $132.75    
Wings: 120     Order: 4, 25, 25, 26, 40              Total Price: $133.90    
Wings: 121     Order: 6, 25, 25, 25, 40              Total Price: $135.00    
Wings: 122     Order: 6, 25, 25, 26, 40              Total Price: $136.15    
Wings: 123     Order: 6, 6, 6, 25, 80                Total Price: $137.30    
Wings: 124     Order: 6, 25, 25, 28, 40              Total Price: $138.40    
Wings: 125     Order: 125                            Total Price: $139.00    
Wings: 126     Order: 25, 25, 25, 25, 26             Total Price: $140.15    
Wings: 127     Order: 25, 25, 25, 26, 26             Total Price: $141.30    
Wings: 128     Order: 25, 25, 25, 25, 28             Total Price: $142.40    
Wings: 129     Order: 25, 25, 25, 26, 28             Total Price: $143.55    
Wings: 130     Order: 5, 125                         Total Price: $144.70    
Wings: 131     Order: 25, 25, 25, 28, 28             Total Price: $145.80    
Wings: 132     Order: 7, 125                         Total Price: $146.95    
Wings: 133     Order: 8, 125                         Total Price: $148.10    
Wings: 134     Order: 9, 125                         Total Price: $149.20    
Wings: 135     Order: 10, 125                        Total Price: $150.35    
Wings: 136     Order: 5, 6, 125                      Total Price: $151.50    
Wings: 137     Order: 12, 125                        Total Price: $152.60    
Wings: 138     Order: 6, 7, 125                      Total Price: $153.75    
Wings: 139     Order: 7, 7, 125                      Total Price: $154.90    
Wings: 140     Order: 6, 9, 125                      Total Price: $156.00    
Wings: 141     Order: 7, 9, 125                      Total Price: $157.15    
Wings: 142     Order: 8, 9, 125                      Total Price: $158.30    
Wings: 143     Order: 9, 9, 125                      Total Price: $159.40    
Wings: 144     Order: 9, 10, 125                     Total Price: $160.55    
Wings: 145     Order: 6, 7, 7, 125                   Total Price: $161.70    
Wings: 146     Order: 9, 12, 125                     Total Price: $162.80    
Wings: 147     Order: 6, 7, 9, 125                   Total Price: $163.95    
Wings: 148     Order: 7, 7, 9, 125                   Total Price: $165.10    
Wings: 149     Order: 6, 9, 9, 125                   Total Price: $166.20    
Wings: 150     Order: 25, 125                        Total Price: $166.80     Savings: $0.05      
Wings: 151     Order: 26, 125                        Total Price: $167.95    
Wings: 152     Order: 25, 25, 25, 25, 26, 26         Total Price: $169.10    
Wings: 153     Order: 28, 125                        Total Price: $170.20    
Wings: 154     Order: 25, 25, 25, 25, 26, 28         Total Price: $171.35    
Wings: 155     Order: 25, 25, 25, 26, 26, 28         Total Price: $172.50    
Wings: 156     Order: 25, 25, 25, 25, 28, 28         Total Price: $173.60    
Wings: 157     Order: 25, 25, 25, 26, 28, 28         Total Price: $174.75    
Wings: 158     Order: 7, 26, 125                     Total Price: $175.90    
Wings: 159     Order: 25, 25, 25, 28, 28, 28         Total Price: $177.00    
Wings: 160     Order: 9, 26, 125                     Total Price: $178.15    
Wings: 161     Order: 10, 26, 125                    Total Price: $179.30    
Wings: 162     Order: 9, 28, 125                     Total Price: $180.40    
Wings: 163     Order: 12, 26, 125                    Total Price: $181.55    
Wings: 164     Order: 7, 7, 25, 125                  Total Price: $182.70    
Wings: 165     Order: 12, 28, 125                    Total Price: $183.80    
Wings: 166     Order: 7, 9, 25, 125                  Total Price: $184.95    
Wings: 167     Order: 7, 9, 26, 125                  Total Price: $186.10    
Wings: 168     Order: 9, 9, 25, 125                  Total Price: $187.20    
Wings: 169     Order: 9, 9, 26, 125                  Total Price: $188.35    
Wings: 170     Order: 9, 10, 26, 125                 Total Price: $189.50    
Wings: 171     Order: 9, 9, 28, 125                  Total Price: $190.60    
Wings: 172     Order: 9, 12, 26, 125                 Total Price: $191.75    
Wings: 173     Order: 7, 7, 9, 25, 125               Total Price: $192.90    
Wings: 174     Order: 9, 12, 28, 125                 Total Price: $194.00    
Wings: 175     Order: 25, 25, 125                    Total Price: $194.60    
Wings: 176     Order: 25, 26, 125                    Total Price: $195.75    
Wings: 177     Order: 26, 26, 125                    Total Price: $196.90    
Wings: 178     Order: 25, 28, 125                    Total Price: $198.00    
Wings: 179     Order: 26, 28, 125                    Total Price: $199.15    
Wings: 180     Order: 25, 25, 25, 25, 26, 26, 28     Total Price: $200.30    
Wings: 181     Order: 28, 28, 125                    Total Price: $201.40    
Wings: 182     Order: 25, 25, 25, 25, 26, 28, 28     Total Price: $202.55    
Wings: 183     Order: 25, 25, 25, 26, 26, 28, 28     Total Price: $203.70    
Wings: 184     Order: 25, 25, 25, 25, 28, 28, 28     Total Price: $204.80    
Wings: 185     Order: 25, 25, 25, 26, 28, 28, 28     Total Price: $205.95    
Wings: 186     Order: 9, 26, 26, 125                 Total Price: $207.10    
Wings: 187     Order: 25, 25, 25, 28, 28, 28, 28     Total Price: $208.20    
Wings: 188     Order: 9, 26, 28, 125                 Total Price: $209.35    
Wings: 189     Order: 12, 26, 26, 125                Total Price: $210.50    
Wings: 190     Order: 9, 28, 28, 125                 Total Price: $211.60    
Wings: 191     Order: 12, 26, 28, 125                Total Price: $212.75    
Wings: 192     Order: 7, 9, 25, 26, 125              Total Price: $213.90    
Wings: 193     Order: 12, 28, 28, 125                Total Price: $215.00    
Wings: 194     Order: 9, 9, 25, 26, 125              Total Price: $216.15    
Wings: 195     Order: 9, 9, 26, 26, 125              Total Price: $217.30    
Wings: 196     Order: 9, 9, 25, 28, 125              Total Price: $218.40    
Wings: 197     Order: 9, 9, 26, 28, 125              Total Price: $219.55    
Wings: 198     Order: 9, 12, 26, 26, 125             Total Price: $220.70    
Wings: 199     Order: 9, 9, 28, 28, 125              Total Price: $221.80    
Wings: 200     Order: 25, 25, 25, 125                Total Price: $222.40     Savings: $0.10
